id,arxiv,title,authors,venue,venue_type,year,code_url,one_line_en,tags,relevance(1-5),reason
N-GFN-11,2608.03967,Information-Geometric Forward Policy Training in GFlowNets,"Yordan Raykov, Rodrigo Veiga","arXiv preprint (comment has no venue, unverified)",preprint,2026,unknown,"Treats the forward policy as a trajectory sampler, identifies its intrinsic geometry as the Fisher-Rao metric, and decomposes the trajectory Fisher into per-step conditional second moments.",natural-gradient;fisher-rao;information-geometry;optimization,4,"The per-step Fisher decomposition is a concrete way to see why credit assignment degrades on long trajectories, which is precisely the regime the minimum-flow objective pushes into."
N-GFN-12,2509.01632,Relative Trajectory Balance is equivalent to Trust-PCL,"Tristan Deleu, Padideh Nouri, Yoshua Bengio, Doina Precup","arXiv preprint (comment empty, unverified)",preprint,2025,unknown,"Proves Relative Trajectory Balance is equivalent to Trust-PCL, an off-policy KL-regularized RL method, and shows KL-regularized RL matches RTB on the paper's illustrative example.",rtb;trust-pcl;kl-regularized-rl;equivalence;theory,4,"Places TB-family objectives inside KL-regularized RL. That mapping is the cleanest route to answering whether TB can express a path-space KL penalty, the open question flagged in the O08 report section 7.5."
N-GFN-13,2603.00454,Rooted Absorbed Prefix Trajectory Balance with Submodular Replay for GFlowNet Training,"Xi Wang, Wenbo Lu, Shengjie Wang",ICML 2026 (per arXiv comment),main,2026,https://github.com/ComDec/ChemGFN,"Anchors subtrajectory supervision at the root and back-propagates terminal rewards to intermediate prefixes, paired with a submodular replay refresh to fight prefix collapse and length bias.",prefix-credit;subtrajectory;replay;mode-collapse;llm,3,Length bias is the failure mode a minimum-flow objective deliberately induces. Their diagnosis of prefix collapse is a warning about what short-trajectory pressure does to coverage.
N-GFN-14,2505.02035,Secrets of GFlowNets' Learning Behavior: A Theoretical Study,Tianshu Yu,"arXiv preprint (comment empty, unverified)",preprint,2025,unknown,"A theoretical study of GFlowNet learning behavior along four axes: convergence, sample complexity, implicit regularization and robustness.",theory;convergence;sample-complexity;robustness,3,"Generic but it is the only 2025 attempt at sample complexity for GFlowNets, so it is the default citation when we claim our OT-gap bound is the first quantitative optimality certificate."
N-GFN-15,2602.17827,Avoid What You Know: Divergent Trajectory Balance for GFlowNets,"Pedro Dall'Antonia, Tiago da Silva, Daniel Csillag, Salem Lahlou, Diego Mesquita","arXiv preprint (comment has no venue, unverified)",preprint,2026,unknown,"Adaptive Complementary Exploration trains a second GFlowNet to search regions the main model under-explores, improving distribution accuracy and high-reward discovery.",exploration;auxiliary-gfn;divergent-tb;coverage,3,Relevant to the open question in the O08 report section 7.7 on whether minimum-flow solutions collapse the visited support. An auxiliary explorer is the obvious mitigation to test.
N-GFN-16,2604.17140,Local Inconsistency Resolution: The Interplay between Attention and Control in Probabilistic Models,"Oliver E. Richardson, Mandana Samiei, Mehran Shakerinava, Joseph D. Viviano, Abdessamad El Kabid, et al.",Proceedings of the The 29th International Conference on Artificial Int (per arXiv journal_ref),journal,2026,unknown,"Local Inconsistency Resolution unifies EM, belief propagation, GANs and GFlowNets as instances of iteratively resolving inconsistency in probabilistic dependency graphs, and suggests a more natural GFlowNet loss.",pdg;unifying-framework;loss-design;inference,3,A loss derived from a graph-inconsistency principle rather than from balance conditions is a genuinely different starting point; worth checking whether the minimum-flow constraint survives the reformulation.
N-GFN-17,2511.09677,Boosted GFlowNets: Improving Exploration via Sequential Learning,"Pedro Dall'Antonia, Tiago da Silva, Daniel Augusto de Souza, Cesar Lincoln C. Mattos, Diego Mesquita","arXiv preprint (comment has no venue, unverified)",preprint,2025,unknown,"Boosted GFlowNets sequentially trains an ensemble where each member optimizes a residual reward, with a monotone non-degradation guarantee.",boosting;residual-reward;exploration;ensembles,3,The residual-reward decomposition is structurally similar to splitting a transport plan into partial couplings; a plausible route to an unbalanced or staged GFN-OT solver.
N-GFN-18,2505.15251,Loss-Guided Auxiliary Agents for Overcoming Mode Collapse in GFlowNets,"Idriss Malek, Aya Laajil, Abhijith Sharma, Eric Moulines, Salem Lahlou",AAAI 2026 (per arXiv comment),main,2026,unknown,Loss-Guided GFlowNets use an auxiliary GFlowNet whose exploration is driven directly by the main model's training loss to focus sampling on poorly fitted regions.,exploration;auxiliary-agent;mode-collapse;loss-guided,3,Loss-driven sampling is exactly what a primal-dual gap monitor would enable if the dual potential critic from O08 Theorem 3.3 were implemented; this is the reward-free version of that idea.
N-GFN-19,2602.21565,Routing by Reaching: Composition of Pre-trained GFlowNets for Multi-Objective Generation,"Seokwon Yoon, Youngbin Choi, Seunghyuk Cho, Seungbeom Lee, MoonJeong Park, et al.",ICML 2026 (per arXiv comment),main,2026,unknown,"Composes pre-trained GFlowNets at inference time for new reward combinations, exact for linear scalarization and with a distortion bound for nonlinear operators.",composition;multi-objective;inference-time;conditional,3,"The cheap version of topic 2 (conditional GFN over a family of transport problems): if composition works, we may not need to retrain per (L,R) pair. Also sets the bar a conditional GFN-OT must clear."
N-GFN-20,2506.02685,Symmetry-Aware GFlowNets,"Hohyun Kim, Seunggeun Lee, Min-hwan Oh",ICML 2025 (per arXiv comment),main,2025,unknown,Symmetry-Aware GFlowNets correct systematic bias from graph symmetries through reward scaling instead of explicit state transition probability computation.,symmetry;bias-correction;graph;reward-scaling,3,Permutation and Cayley graph environments are full of symmetry; an uncorrected symmetry bias would corrupt the terminal marginal and hence the measured transport cost.
N-GFN-21,2501.06148,From discrete-time policies to continuous-time diffusion samplers: Asymptotic equivalences and faster training,"Julius Berner, Lorenz Richter, Marcin Sendera, Jarrid Rector-Brooks, Nikolay Malkin",TMLR (per arXiv comment/journal_ref),journal,2025,https://github.com/GFNOrg/gfn-diffusion/tree/stagger,"Proves equivalences between discrete-time entropic RL objectives (GFlowNets) and continuous-time objects (PDEs, path-space measures) in the small-step limit, and shows coarse time discretization speeds up training.",continuous-time;diffusion-sampler;asymptotic-equivalence;pde,4,"The formal statement that GFlowNet objectives converge to path-space measure objectives. If we want to compare a discrete-step GFN-OT against a continuous-time Schrodinger bridge such as GSBoG, this is the only rigorous bridge available."
N-GFN-22,2606.16222,Latent Thought Flow: Efficient Latent Reasoning in Large Language Models,"Xiandong Zou, Jing Huang, Jianshu Li, Pan Zhou","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,Models LLM reasoning as variable-length continuous trajectories sampled by a continuous GFlowNet with an entropy-weighted subtrajectory balance objective and a reference-prior regularizer.,continuous-gfn;subtrajectory-balance;llm;latent-reasoning,3,"A rare instance of variable trajectory length being treated as a first-class cost, plus an explicit reference prior - the two ingredients of an entropic transport objective, in a non-graph setting."
N-GFN-23,2607.06432,TILDE: TILt-based Distributional Erasure for Concept Unlearning,"Naveen George, Naoki Murata, Yuhta Takida, Konda Reddy Mopuri, Yuki Mitsufuji","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,Formulates concept unlearning as finding the minimum-deviation conditional distribution under a forgetting constraint and trains it with residual nabla-GFlowNet score correction.,unlearning;residual-nabla-gfn;distributional-alignment;diffusion,3,"Minimum deviation subject to a constraint is an I-projection, i.e. the static Schrodinger problem. Same mathematical shape as GFN-OT with an entropy term, arrived at from a completely different application."
N-GFN-24,2607.13394,GFlowRL: Scaling Distribution-Matching RL to Large Language Models,"Xiaodong Liu, Michael Xu, Jack W. Stokes, Paul Smolensky, Doug Burger, et al.","arXiv preprint (comment has no venue, unverified)",preprint,2026,https://github.com/microsoft/gflowrl,"Removes the learned partition network from GFlowNet-style LLM RL by using an in-batch Monte Carlo estimate, plus importance-sampling correction and asymmetric flow-gap clipping.",llm;partition-function-free;stability;distribution-matching;scale,4,"O08 sidesteps the partition function by assuming Z=1. This paper shows the alternative: estimate Z from the rollout batch. That is what an unbalanced GFN-OT with unknown mass would need, so it is the reference design for section 7.6 of the O08 report."
N-GFN-25,2605.00553,Stable-GFlowNet: Toward Diverse and Robust LLM Red-Teaming via Contrastive Trajectory Balance,"Minchan Kwon, Sunghyun Baek, Minseo Kim, Jaemyung Yu, Dongyoon Han, et al.",ICML 2026 (per arXiv comment),main,2026,https://github.com/kmc0207/Stable-GFN,Stable-GFN eliminates partition function estimation through pairwise comparisons and adds masking against noisy rewards plus a fluency stabilizer.,llm;red-teaming;partition-free;contrastive-tb;stability,3,Second independent 2026 data point that removing Z improves stability. Two papers agreeing makes it a trend rather than an anecdote.
N-GFN-26,2603.18363,PowerFlow: Unlocking the Dual Nature of LLMs via Principled Distribution Matching,"Ruishuo Chen, Yu Chen, Zhuoran Li, Longbo Huang",ICML 2026 (per arXiv comment),main,2026,unknown,PowerFlow casts unsupervised LLM fine-tuning as distribution matching with a length-aware trajectory-balance objective targeting alpha-power distributions.,llm;trajectory-balance;length-bias;alpha-power;rlif,3,Length-aware TB is the LLM-side mirror of minimum-flow: both try to stop the objective from being dominated by trajectory length. The correction term is directly transferable.
N-GFN-27,2602.12642,Beyond Normalization: Rethinking the Partition Function as a Difficulty Scheduler for RLVR,"Dohyung Kim, Minbeom Kim, Jeonghye Kim, Sangmook Lee, Sojeong Rhee, et al.","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,Reinterprets the GFlowNet partition function as a per-prompt expected-reward signal and uses it to prioritize informative prompts and error-prioritized replay.,llm;partition-function;curriculum;replay;sample-efficiency,3,"Shows the flow/partition quantity carries usable information beyond normalization. In the OT setting the analogous quantity is the state flow F(s), which we currently only penalize rather than read."
N-GFN-28,2602.10583,Flow of Spans: Generalizing Language Models to Dynamic Span-Vocabulary via GFlowNets,"Bo Xue, Yunchong Song, Fanghao Shao, Xuekai Zhu, Lin Chen, et al.",ICLR 2026 (per arXiv comment),main,2026,unknown,"Flow of Spans builds a dynamic span vocabulary so the language-model state space is a DAG rather than a tree, letting GFlowNets explore multiple compositional paths to the same string.",llm;dag-state-space;span;exploration,3,A clean demonstration that merging paths (DAG instead of tree) changes what a GFlowNet can express. The next step along that axis - allowing cycles - is exactly the non-acyclic setting.
N-GFN-29,2502.03669,Unrealized Expectations: Comparing AI Methods vs Classical Algorithms for Maximum Independent Set,"Yikai Wu, Haoyu Zhao, Sanjeev Arora",TMLR (per arXiv comment/journal_ref),journal,2025,unknown,"Compares AI methods against classical solvers on Maximum Independent Set and finds the classical KaMIS solver on one CPU beats leading GPU-based AI methods, with a serialization analysis showing the GFlowNet-based LTFT reasons like a degree-based greedy.",benchmark;combinatorial;negative-result;mis;classical-baseline,4,"The strongest published warning that a learned sampler on a combinatorial graph problem can lose to a classical solver. Our GFN-OT versus network-simplex comparison faces the same critique, so this defines the evidence bar."
N-GFN-30,2510.04792,Hybrid-Balance GFlowNet for Solving Vehicle Routing Problems,"Ni Zhang, Zhiguang Cao",NeurIPS 2025 (per arXiv comment),main,2025,unknown,"Hybrid-Balance GFlowNet adaptively combines trajectory balance and detailed balance for vehicle routing, with a depot-specific inference strategy.",vrp;combinatorial;detailed-balance;trajectory-balance;hybrid,3,Routing problems are min-cost-flow relatives. The finding that TB alone is insufficient and DB must be blended in matters because O08 trains with regularized TB only.
N-GFN-31,2503.01931,Adversarial Generative Flow Network for Solving Vehicle Routing Problems,"Ni Zhang, Jingfeng Yang, Zhiguang Cao, Xu Chi",ICLR 2025 (per arXiv comment),main,2025,unknown,"Adversarial GFlowNet pairs a generative flow network with a discriminator for capacitated vehicle routing and TSP, plus a hybrid decoding step.",vrp;tsp;adversarial;diversity;combinatorial,3,Establishes the GFlowNet-for-routing baseline family that a shortest-path or transport GFlowNet will be benchmarked against.
N-GFN-32,2506.12033,EMERGENT: Efficient and Manipulation-resistant Matching using GFlowNets,"Mayesha Tasnim, Erman Acar, Sennay Ghebreab","arXiv preprint (comment empty, unverified)",preprint,2025,unknown,"EMERGENT applies GFlowNets to one-sided matching, trading rank efficiency against manipulation resistance by sampling diverse high-reward matchings.",matching;assignment;mechanism-design;diversity,3,"One-sided matching is a degenerate assignment problem, i.e. OT with 0/1 marginals. The clearest existing example of a GFlowNet sampling from the polytope of feasible couplings."
N-GFN-33,2503.06985,Learning Decision Trees as Amortized Structure Inference,"Mohammed Mahfoud, Ghait Boukachab, Michal Koziarski, Alex Hernandez-Garcia, Stefan Bauer, et al.","arXiv preprint (comment has no venue, unverified)",preprint,2025,https://github.com/GFNOrg/dt-gfn,DT-GFN formulates decision-tree construction as sequential planning and trains a GFlowNet policy that samples trees from the Bayesian posterior.,structure-learning;decision-trees;amortized-inference;posterior,3,"The reference example of GFlowNet as amortized structure inference over a huge implicit space, which is the same selling point we use for implicit combinatorial transport graphs."
N-GFN-34,2501.05498,Generative Flow Networks: Theory and Applications to Structure Learning,Tristan Deleu,"arXiv preprint (comment empty, unverified)",preprint,2025,unknown,"Doctoral thesis covering GFlowNet mathematical foundations, links to variational inference and RL, extensions beyond discrete problems, and Bayesian structure learning over DAGs.",thesis;theory;structure-learning;foundations,3,Useful as a single consistent source for the measure-theoretic foundations that the non-acyclic extension has to modify.
N-GFN-35,2511.16592,gfnx: Fast and Scalable Library for Generative Flow Networks in JAX,"Daniil Tiapkin, Artem Agarkov, Nikita Morozov, Ian Maksimov, Askar Tsyganov, et al.","arXiv preprint (comment has no venue, unverified)",preprint,2025,https://github.com/d-tiapkin/gfnx,"gfnx is a JAX library with single-file implementations of core GFlowNet objectives plus hypergrid, sequence, molecular, phylogenetic and Ising environments, reporting up to 55x-80x speedups over PyTorch baselines.",library;jax;benchmark;hypergrid;reproducibility,4,By the same group as O07/O08 and already contains the hypergrid environment used in O08 Table 1. Fastest path to a reproducible baseline harness for the transport experiments.
N-GFN-36,2604.21830,GFlowState: Visualizing the Training of Generative Flow Networks Beyond the Reward,"Florian Holeczek, Andreas Hinterreiter, Alex Hernandez-Garcia, Marc Streit, Christina Humer","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"GFlowState is a visual analytics system exposing sampling trajectories, state projections, a trajectory network node-link diagram and a transition heatmap during GFlowNet training.",visual-analytics;diagnostics;training-dynamics;transition-heatmap,3,"A transition heatmap is a rendering of the edge flow. That is exactly the object we need to compare against an exact LP solution on medium-sized grids, which O08 never does."
N-GFN-37,2603.01655,Transform-Invariant Generative Ray Path Sampling for Efficient Radio Propagation Modeling,"Jerome Eertmans, Enrico M. Vitucci, Vittorio Degli-Esposti, Nicola Di Cicco, Laurent Jacques, et al.","arXiv preprint (submitted to npj Wireless Technology, unverified)",preprint,2026,https://github.com/jeertmans/sampling-paths,"Replaces exhaustive ray-path search in radio propagation with GFlowNet sampling, using a replay buffer for rare valid paths, a uniform exploratory policy and physics-based action masking.",ray-tracing;path-sampling;action-masking;replay;ood,3,"A path-sampling application where valid paths are rare and the graph is implicit - structurally the same problem as sampling shortest paths on a Cayley graph, and its action masking is directly reusable."
N-GFN-38,2602.11498,Partial GFlowNet: Accelerating Convergence in Large State Spaces via Strategic Partitioning,"Xuan Yu, Xu Wang, Rui Zhu, Yudong Zhang, Yang Wang","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,Partial GFlowNet introduces a planner that partitions a large state space into overlapping partial spaces and switches between them heuristically to speed up convergence.,state-space-partitioning;scalability;convergence,3,"Partitioning the state graph is one of the few generic tricks for large implicit graphs, but it breaks global flow conservation - a tension we would inherit if we try it on permutation environments."
